Name,Instructions,Total Cycles,Total uOps
examples/InstCombine/add_mca_O0.txt,128800,559602,140700,
examples/InstCombine/div_mca_O0.txt,88400,195201,90000,
examples/InstCombine/cos-1_mca_O0.txt,17800,305901,22800,
examples/InstCombine/fcmp_mca_O0.txt,60700,149501,61100,
examples/SimplifyCFG/branch-cond-merge_mca_O0.txt,100,101,100,
examples/SimplifyCFG/branch-cond-prop_mca_O0.txt,100,101,100,
examples/SimplifyCFG/branch-fold-dbg_mca_O0.txt,1500,2002,1500,
examples/SimplifyCFG/branch-fold-multiple_mca_O0.txt,3200,6102,3200,
examples/SimplifyCFG/branch-fold-test_mca_O0.txt,300,302,300,
examples/SimplifyCFG/branch-fold-three_mca_O0.txt,12000,190802,13800,
examples/SimplifyCFG/branch-fold-threshold_mca_O0.txt,3600,24102,4100,
examples/SimplifyCFG/branch-fold_mca_O0.txt,2500,13001,2700,
examples/SimplifyCFG/common-code-hoisting_mca_O0.txt,1600,41601,1900,
examples/SimplifyCFG/hoist-common-code_mca_O0.txt,700,10801,900,
examples/SimplifyCFG/merge-default_mca_O0.txt,1200,31501,1500,
examples/SimplifyCFG/PhiEliminate_mca_O0.txt,1000,21001,1300,
examples/SimplifyCFG/PHINode_mca_O0.txt,200,202,200,
examples/gmpbench/divide_mca_O0.txt,20000,287802,20200,
examples/gmpbench/gcd_mca_O0.txt,19400,277202,19600,
examples/gmpbench/gcdext_mca_O0.txt,20200,287402,20400,
examples/gmpbench/gmpver_mca_O0.txt,1400,11802,1500,
examples/gmpbench/multiply_mca_O0.txt,22600,310602,22800,
examples/gmpbench/pi_mca_O0.txt,201900,1912202,202900,
examples/gmpbench/rsa_mca_O0.txt,42400,804101,43000,
examples/MemCpyOpt/callslot_mca_O0.txt,12000,142201,13300,
examples/MemCpyOpt/lifetime_mca_O0.txt,3900,34502,4500,
examples/MemCpyOpt/memcpy_mca_O0.txt,42000,404102,48600,
examples/MemCpyOpt/memmove_mca_O0.txt,2700,12901,3000,
examples/MemCpyOpt/load-store-to-memcpy_mca_O0.txt,2800,3001,2800,
examples/MemCpyOpt/sret_mca_O0.txt,1700,12402,2000,
examples/PhaseOrdering/addsub_mca_O0.txt,3900,4501,3900,
examples/PhaseOrdering/scalarization_mca_O0.txt,4500,3302,4500,
examples/PhaseOrdering/shuffle_mca_O0.txt,10200,25701,10200,
examples/PhaseOrdering/SROA-after-loop-unrolling_mca_O0.txt,6200,86202,7100,
examples/PhaseOrdering/vector-math_mca_O0.txt,4600,64901,5100,
examples/PhaseOrdering/vdiv_mca_O0.txt,1600,4101,1900,
examples/PhaseOrdering/simplifycfg-late_mca_O0.txt,900,1202,900,
examples/PhaseOrdering/loadcombine_mca_O0.txt,4800,7201,4800,
examples/PhaseOrdering/hoist-load-of-baseptr_mca_O0.txt,3900,14702,4100,
examples/PhaseOrdering/excessive-unrolling_mca_O0.txt,3600,4602,3600,
