Name,Instructions,Total Cycles,Total uOps
examples/SimplifyCFG/branch-fold-dbg_mca_cegss.txt,1500,2002,1500,
examples/SimplifyCFG/branch-fold-test_mca_cegss.txt,300,302,300,
examples/SimplifyCFG/branch-fold-three_mca_cegss.txt,600,601,600,
examples/SimplifyCFG/merge-default_mca_cegss.txt,100,101,100,
examples/SimplifyCFG/PhiEliminate_mca_cegss.txt,100,101,100,
examples/SimplifyCFG/PHINode_mca_cegss.txt,200,202,200,
examples/gmpbench/divide_mca_cegss.txt,20000,287802,20200,
examples/gmpbench/gcd_mca_cegss.txt,19400,277202,19600,
examples/gmpbench/gcdext_mca_cegss.txt,20200,287402,20400,
examples/gmpbench/multiply_mca_cegss.txt,22600,310602,22800,
examples/gmpbench/pi_mca_cegss.txt,201900,1912202,202900,
examples/gmpbench/rsa_mca_cegss.txt,42400,804101,43000,
examples/MemCpyOpt/lifetime_mca_cegss.txt,3900,34502,4500,
examples/MemCpyOpt/memmove_mca_cegss.txt,2700,12901,3000,
examples/MemCpyOpt/load-store-to-memcpy_mca_cegss.txt,2400,2801,2400,
examples/MemCpyOpt/sret_mca_cegss.txt,1700,12402,2000,
examples/PhaseOrdering/addsub_mca_cegss.txt,3900,4501,3900,
examples/PhaseOrdering/scalarization_mca_cegss.txt,4500,3302,4500,
examples/PhaseOrdering/shuffle_mca_cegss.txt,8900,21501,8900,
examples/PhaseOrdering/loadcombine_mca_cegss.txt,6100,8901,6100,
examples/PhaseOrdering/hoist-load-of-baseptr_mca_cegss.txt,3900,14702,4100,
