Name,Instructions,Total Cycles,Total uOps
examples/gmpbench/divide.ll,20000,287802,20200,
examples/gmpbench/gcdext.ll,20200,287402,20400,
examples/gmpbench/gcd.ll,19400,277202,19600,
examples/gmpbench/gmpver.ll,1400,11802,1500,
examples/gmpbench/multiply.ll,22600,310602,22800,
examples/gmpbench/pi.ll,201900,1912202,202900,
examples/gmpbench/rsa.ll,42400,804101,43000,
examples/InstCombine/add.ll,128800,559602,140700,
examples/InstCombine/cos-1.ll,17800,305901,22800,
examples/InstCombine/div.ll,88400,195201,90000,
examples/InstCombine/fcmp.ll,60700,149501,61100,
examples/MemCpyOpt/callslot.ll,12000,142201,13300,
examples/MemCpyOpt/lifetime.ll,3900,34502,4500,
examples/MemCpyOpt/load-store-to-memcpy.ll,2800,3001,2800,
examples/MemCpyOpt/memcpy.ll,42000,404102,48600,
examples/MemCpyOpt/memmove.ll,2700,12901,3000,
examples/MemCpyOpt/sret.ll,1700,12402,2000,
examples/PhaseOrdering/addsub.ll,3900,4501,3900,
examples/PhaseOrdering/excessive-unrolling.ll,3600,4602,3600,
examples/PhaseOrdering/hoist-load-of-baseptr.ll,3900,14702,4100,
examples/PhaseOrdering/loadcombine.ll,4800,7201,4800,
examples/PhaseOrdering/scalarization.ll,4500,3302,4500,
examples/PhaseOrdering/shuffle.ll,10200,25701,10200,
examples/PhaseOrdering/simplifycfg-late.ll,900,1202,900,
examples/PhaseOrdering/SROA-after-loop-unrolling.ll,6200,86202,7100,
examples/PhaseOrdering/vdiv.ll,1600,4101,1900,
examples/PhaseOrdering/vector-math.ll,4600,64901,5100,
examples/SimplifyCFG/branch-cond-merge.ll,100,101,100,
examples/SimplifyCFG/branch-cond-prop.ll,100,101,100,
examples/SimplifyCFG/branch-fold-dbg.ll,1500,2002,1500,
examples/SimplifyCFG/branch-fold.ll,2500,13001,2700,
examples/SimplifyCFG/branch-fold-multiple.ll,3200,6102,3200,
examples/SimplifyCFG/branch-fold-test.ll,300,302,300,
examples/SimplifyCFG/branch-fold-three.ll,12000,190802,13800,
examples/SimplifyCFG/branch-fold-threshold.ll,3600,24102,4100,
examples/SimplifyCFG/common-code-hoisting.ll,1600,41601,1900,
examples/SimplifyCFG/hoist-common-code.ll,700,10801,900,
examples/SimplifyCFG/merge-default.ll,1200,31501,1500,
examples/SimplifyCFG/PhiEliminate.ll,1000,21001,1300,
examples/SimplifyCFG/PHINode.ll,200,202,200,
